"By residential area(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"By residential area(1)",Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Total,Total,Total,Total,Total,Total,Total,Total,Total,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female
"By residential area(1)",Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead,Total,Under 30 years,30-39 Years old,40-49 Years old,50-59 Years old,60-69 Years old,70-79 Years old,80 years and over,dead
"Whole country",12032798,282910,1941927,3108057,3090353,1913052,1156929,264280,275290,7047944,156530,1123901,1771633,1799567,1139882,676314,147203,232914,4984854,126380,818026,1336424,1290786,773170,480615,117077,42376,12398627,252730,1876828,3166585,3235769,2006125,1259948,308122,292520,7205138,140344,1088176,1783058,1859636,1183435,732289,170351,247849,5193489,112386,788652,1383527,1376133,822690,527659,137771,44671,12650446,240293,1841226,3231720,3302097,2089927,1303758,325782,315643,7281977,134155,1073637,1801109,1864412,1218026,749007,173816,267815,5368469,106138,767589,1430611,1437685,871901,554751,151966,47828,13044592,275103,1855775,3280918,3376615,2243668,1337172,366776,308565,7420711,152291,1088849,1811469,1869816,1285274,759308,193279,260425,5623881,122812,766926,1469449,1506799,958394,577864,173497,48140,13311319,252840,1831033,3291308,3439685,2383245,1375881,415544,321783,7509980,140309,1080179,1805209,1876111,1344462,773971,218645,271094,5801339,112531,750854,1486099,1563574,1038783,601910,196899,50689,13669851,252676,1805119,3316590,3502715,2516893,1473092,473021,329745,7666849,140360,1069615,1819578,1884236,1405068,822892,248717,276383,6003002,112316,735504,1497012,1618479,1111825,650200,224304,53362,14010290,257292,1801650,3309561,3600518,2640555,1541530,535334,323850,7796112,142123,1068892,1819350,1908829,1453325,852061,283637,267895,6214178,115169,732758,1490211,1691689,1187230,689469,251697,55955,14335723,250362,1741549,3316628,3689400,2799643,1612620,598223,327298,7922076,137260,1033528,1831187,1936430,1518678,881862,313984,269147,6413647,113102,708021,1485441,1752970,1280965,730758,284239,58151,14696617,265312,1680384,3337805,3735459,3011572,1680030,658604,327451,8055345,144581,993113,1848890,1944969,1606968,908455,340544,267825,6641272,120731,687271,1488915,1790490,1404604,771575,318060,59626,15089160,291496,1646737,3335444,3793303,3256053,1722827,723771,319529,8205832,158053,966521,1857714,1964907,1710826,919664,369045,259102,6883328,133443,680216,1477730,1828396,1545227,803163,354726,60427,15309392,274062,1541372,3324304,3851520,3386411,1794585,808358,328780,8280854,147709,900822,1862073,1992505,1761125,947437,406519,262664,7028538,126353,640550,1462231,1859015,1625286,847148,401839,66116,15618261,251544,1479689,3305362,3938164,3553549,1880330,879875,329748,8408927,135381,862849,1866321,2034884,1833085,981261,434080,261066,7209334,116163,616840,1439041,1903280,1720464,899069,445795,68682
"Seoul",2286639,56359,373082,572673,600690,403231,215806,45835,18963,1279363,29962,208947,315961,330606,233455,123630,22829,13973,1007276,26397,164135,256712,270084,169776,92176,23006,4990,2306750,48686,349106,577806,610404,414937,234031,52273,19507,1280274,25746,194964,315927,331905,237187,134136,26041,14368,1026476,22940,154142,261879,278499,177750,99895,26232,5139,2343420,44964,334215,586890,617810,432347,249074,57687,20433,1288868,23712,186613,318378,330607,243880,141849,28773,15056,1054552,21252,147602,268512,287203,188467,107225,28914,5377,2386284,48876,329574,588654,615893,456428,260688,65969,20202,1297000,25421,184080,315886,323461,252657,147577,33125,14793,1089284,23455,145494,272768,292432,203771,113111,32844,5409,2412355,46637,324762,589865,614204,473306,269801,73479,20301,1296509,24211,181221,313431,317841,257146,150743,37051,14865,1115846,22426,143541,276434,296363,216160,119058,36428,5436,2436182,47814,321360,587296,609218,483441,284739,81899,20415,1295024,24615,178526,310785,310258,258073,156554,41410,14803,1141158,23199,142834,276511,298960,225368,128185,40489,5612,2459986,48966,317621,577124,611847,495253,297209,91093,20873,1295775,25008,175648,304726,308204,259772,161201,46163,15053,1164211,23958,141973,272398,303643,235481,136008,44930,5820,2483492,47364,300102,569096,617201,514797,311186,102982,20764,1297708,24017,164563,300689,309076,265841,166491,52244,14787,1185784,23347,135539,268407,308125,248956,144695,50738,5977,2536442,52860,298270,566321,621708,540208,322830,114439,19806,1314345,26566,161985,298888,310376,274197,170555,57715,14063,1222097,26294,136285,267433,311332,266011,152275,56724,5743,2602070,59226,300627,564074,631377,570582,328358,127834,19992,1340027,29402,161133,298662,315632,285677,171093,64419,14009,1262043,29824,139494,265412,315745,284905,157265,63415,5983,2628669,56660,281475,559966,641604,580581,340628,146204,21551,1346726,28019,149501,297019,321544,287592,174971,73157,14923,1281943,28641,131974,262947,320060,292989,165657,73047,6628,2643465,51824,262277,550483,650148,593517,353318,160972,20926,1348979,25655,138474,293063,326481,291916,179346,79709,14335,1294486,26169,123803,257420,323667,301601,173972,81263,6591
"Busan",874492,19094,126565,203909,249395,163349,82635,15379,14166,487550,10215,70752,107822,136761,95909,47211,7841,11039,386942,8879,55813,96087,112634,67440,35424,7538,3127,909885,17269,123796,206055,259126,174590,95219,18793,15037,502201,9284,69445,108133,139457,100751,53960,9474,11697,407684,7985,54351,97922,119669,73839,41259,9319,3340,923056,16180,121996,208578,257764,181462,100365,20616,16095,504054,8839,68918,108603,135487,102749,56597,10340,12521,419002,7341,53078,99975,122277,78713,43768,10276,3574,950203,17804,122574,211192,256893,196100,105793,24128,15719,511698,9550,69657,109358,131664,108358,59005,12009,12097,438505,8254,52917,101834,125229,87742,46788,12119,3622,959418,16970,121982,210121,254641,205148,107689,27157,15710,510334,9119,69615,108339,127638,110601,59515,13486,12021,449084,7851,52367,101782,127003,94547,48174,13671,3689,973593,16588,118460,208817,252548,214267,115600,30924,16389,513794,8943,67807,108278,124583,113463,62949,15343,12428,459799,7645,50653,100539,127965,100804,52651,15581,3961,980424,15375,112119,205127,251782,220893,122835,34926,17367,513980,8256,64299,107292,122656,115030,66139,17292,13016,466444,7119,47820,97835,129126,105863,56696,17634,4351,986976,14107,103194,202929,249838,229175,129547,39629,18557,513969,7540,59229,107312,120493,117257,68812,19555,13771,473007,6567,43965,95617,129345,111918,60735,20074,4786,1001906,14337,97286,204662,246238,240931,135123,44323,19006,517709,7584,55816,109114,118233,120480,70788,21698,13996,484197,6753,41470,95548,128005,120451,64335,22625,5010,1019096,16372,94141,204191,243735,253198,139640,49490,18329,521484,8591,53624,109591,116743,123668,71886,23914,13467,497612,7781,40517,94600,126992,129530,67754,25576,4862,1030185,15960,88663,201989,242329,258354,146791,56513,19586,524025,8355,50476,109144,116514,124068,74223,27036,14209,506160,7605,38187,92845,125815,134286,72568,29477,5377,1051261,14460,84989,202455,245421,266290,154637,63039,19970,531965,7551,48460,110302,118460,126459,76696,29769,14268,519296,6909,36529,92153,126961,139831,77941,33270,5702
"Daegu",594293,11641,90101,159545,159789,98363,55576,11170,8108,342198,6685,51947,88828,91654,58231,32140,6156,6557,252095,4956,38154,70717,68135,40132,23436,5014,1551,611890,10947,89773,161476,164894,102672,60641,13013,8474,348109,6333,51842,88556,92935,59659,34864,7072,6848,263781,4614,37931,72920,71959,43013,25777,5941,1626,623401,10214,87882,163950,169137,106520,62886,13919,8893,350796,5983,51107,89026,93462,60981,35666,7374,7197,272605,4231,36775,74924,75675,45539,27220,6545,1696,639235,10979,85017,163718,172457,115349,65519,16574,9622,356387,6389,49670,88440,93603,65041,36790,8704,7750,282848,4590,35347,75278,78854,50308,28729,7870,1872,653026,10384,84104,164066,175563,123203,66796,19040,9870,360678,6098,49602,88296,93682,68178,37023,9935,7864,292348,4286,34502,75770,81881,55025,29773,9105,2006,671684,10968,84329,165173,179524,129745,70855,21476,9614,367859,6482,50277,88844,94078,70689,38752,11096,7641,303825,4486,34052,76329,85446,59056,32103,10380,1973,683423,11174,83708,162038,184010,133976,74500,24030,9987,371500,6478,50289,87371,95029,71916,40135,12437,7845,311923,4696,33419,74667,88981,62060,34365,11593,2142,690770,10932,79337,159955,185774,139873,78287,27019,9593,371768,6286,48012,86421,94628,73625,41514,13809,7473,319002,4646,31325,73534,91146,66248,36773,13210,2120,698114,10879,73946,157668,186209,148216,81304,29957,9935,372185,6185,44947,85564,93844,76354,42638,15013,7640,325929,4694,28999,72104,92365,71862,38666,14944,2295,709100,11501,70239,155283,186623,158022,83923,33459,10050,375286,6488,42795,84875,93572,80038,43418,16442,7658,333814,5013,27444,70408,93051,77984,40505,17017,2392,717264,10505,65316,153519,187803,162878,88265,37956,11022,377734,5896,39910,84717,94115,81597,44872,18448,8179,339530,4609,25406,68802,93688,81281,43393,19508,2843,740776,9802,63134,151492,192717,172354,94915,43420,12942,389746,5432,38900,84645,96595,85949,47632,20956,9637,351030,4370,24234,66847,96122,86405,47283,22464,3305
"Incheon",677829,20233,123261,189263,181695,93734,50054,10920,8669,387338,10597,72587,106825,104236,53892,26995,5503,6703,290491,9636,50674,82438,77459,39842,23059,5417,1966,695488,17369,118060,190686,192363,99380,55548,13074,9008,394998,9122,69695,106835,109157,56770,30009,6437,6973,300490,8247,48365,83851,83206,42610,25539,6637,2035,709536,16256,115609,192712,198227,104903,58255,14116,9458,398844,8608,68345,107014,110335,59145,31297,6762,7338,310692,7648,47264,85698,87892,45758,26958,7354,2120,732615,17631,116952,193975,204251,114070,60669,16044,9023,407800,9343,69416,107129,111512,63318,32359,7717,7006,324815,8288,47536,86846,92739,50752,28310,8327,2017,746413,16665,114762,193511,208113,122140,63441,18449,9332,412015,8825,68323,106573,111955,66787,33542,8819,7191,334398,7840,46439,86938,96158,55353,29899,9630,2141,763252,16933,112201,194828,212142,129848,68012,20326,8962,417893,8882,66904,107368,112254,70196,35700,9706,6883,345359,8051,45297,87460,99888,59652,32312,10620,2079,780533,16910,110551,193674,217411,138325,71445,22881,9336,424105,8891,65714,107261,113236,73733,37268,10916,7086,356428,8019,44837,86413,104175,64592,34177,11965,2250,791488,15939,104222,192116,220468,148165,75393,25610,9575,427231,8310,61754,107171,113625,78043,39077,12084,7167,364257,7629,42468,84945,106843,70122,36316,13526,2408,803261,16330,97222,191658,220019,161266,79230,28088,9448,430338,8495,57320,107703,112470,83588,40669,13067,7026,372923,7835,39902,83955,107549,77678,38561,15021,2422,822999,18115,94080,190933,220809,177680,81344,31068,8970,438763,9502,55353,108199,112511,91095,41228,14273,6602,384236,8613,38727,82734,108298,86585,40116,16795,2368,839794,16719,88634,191443,223227,188317,86226,35294,9934,446044,8721,51802,109296,113851,95724,43547,15958,7145,393750,7998,36832,82147,109376,92593,42679,19336,2789,864282,14735,86757,192496,226962,201176,91216,39376,11564,458051,7692,50468,111156,115789,101431,45793,17578,8144,406231,7043,36289,81340,111173,99745,45423,21798,3420
"Gwangju",348858,9569,64527,97662,81738,52507,30450,6499,5906,192837,5313,35484,51388,44784,30348,17275,3481,4764,156021,4256,29043,46274,36954,22159,13175,3018,1142,354659,8331,61201,98997,85947,54104,32608,7371,6100,194360,4655,33945,51403,46417,30839,18342,3850,4909,160299,3676,27256,47594,39530,23265,14266,3521,1191,373513,8254,61996,105032,92186,57399,34151,8144,6351,203657,4632,34757,54343,49296,32400,19002,4122,5105,169856,3622,27239,50689,42890,24999,15149,4022,1246,386295,8715,62407,106943,95553,61440,35923,9260,6054,208743,4885,35597,54950,50154,33767,19889,4671,4830,177552,3830,26810,51993,45399,27673,16034,4589,1224,393535,8066,59862,107212,99482,64460,37600,10707,6146,211029,4546,34404,54958,51413,34778,20656,5381,4893,182506,3520,25458,52254,48069,29682,16944,5326,1253,399189,7966,57105,107398,101452,67059,40068,11884,6257,212848,4459,33168,55154,51701,35730,21763,5918,4955,186341,3507,23937,52244,49751,31329,18305,5966,1302,406703,8465,56703,105963,104883,69594,41916,13217,5962,214953,4743,33203,54653,52503,36249,22381,6565,4656,191750,3722,23500,51310,52380,33345,19535,6652,1306,414198,8522,54170,105585,107579,73588,44173,14901,5680,217349,4762,31893,54868,53267,37616,23144,7375,4424,196849,3760,22277,50717,54312,35972,21029,7526,1256,419407,8512,50792,104631,107970,78791,46019,16651,6041,218556,4686,29932,54734,53042,39598,23825,8123,4616,200851,3826,20860,49897,54928,39193,22194,8528,1425,430443,9260,49538,104279,111066,84374,47463,18664,5799,222863,5088,29331,55223,54160,41478,24172,9012,4399,207580,4172,20207,49056,56906,42896,23291,9652,1400,436853,8928,46778,103348,113932,87557,48912,21481,5917,225185,4819,27743,55439,55413,42529,24470,10358,4414,211668,4109,19035,47909,58519,45028,24442,11123,1503,443367,8268,44358,101839,116613,92269,50861,23294,5865,227412,4454,26281,55506,56571,44231,24935,11087,4347,215955,3814,18077,46333,60042,48038,25926,12207,1518
