,Province,Year,Total number of houses,House owned by ordinary households,Total number of apartments, Apartments owned by ordinary households
0,Whole country,2015,16367006,14151049,9806062,8194138
1,Whole country,2016,16692230,14525716,10029644,8428543
2,Whole country,2017,17122573,14973014,10375363,8702268
3,Whole country,2018,17633327,15328268,10826044,9037375
4,Whole country,2019,18126954,15701210,11287048,9384629
5,Whole country,2020,18525844,15982836,11661851,9655228
6,Whole country,2021,18811627,16257216,11948544,9932671
7,Whole country,2022,19155585,16447905,12268973,10143118
8,Whole country,2023,19546299,16759409,12631608,10409753
9,Seoul,2015,2793244,2484582,1636896,1379613
10,Seoul,2016,2830857,2536949,1641383,1400137
11,Seoul,2017,2866845,2554758,1665922,1410827
12,Seoul,2018,2894078,2573571,1679639,1423056
13,Seoul,2019,2953964,2605964,1720691,1447784
14,Seoul,2020,3015371,2643613,1772670,1481857
15,Seoul,2021,3068494,2684989,1818214,1522920
16,Seoul,2022,3111323,2709652,1851242,1545062
17,Seoul,2023,3155331,2727997,1886515,1559433
18,Busan,2015,1164352,1054274,738068,648941
19,Busan,2016,1174034,1063311,750122,667781
20,Busan,2017,1200422,1090758,776079,686702
21,Busan,2018,1220782,1102725,798281,703465
22,Busan,2019,1249757,1113204,831294,719565
23,Busan,2020,1275859,1129908,860042,740688
24,Busan,2021,1282831,1139338,872073,756451
25,Busan,2022,1308294,1150099,898404,769605
26,Busan,2023,1329355,1176449,920155,794945
27,Daegu,2015,738100,667611,509068,445367
28,Daegu,2016,761054,685300,532090,463429
29,Daegu,2017,783895,704901,555900,484171
30,Daegu,2018,792998,712956,567543,496547
31,Daegu,2019,800340,716231,579777,505039
32,Daegu,2020,809802,718203,595392,512834
33,Daegu,2021,815588,723024,605787,521258
34,Daegu,2022,834637,733323,627191,534244
35,Daegu,2023,876286,759381,658745,550316
36,Incheon,2015,942244,847142,577346,498966
37,Incheon,2016,958072,865923,588563,512536
38,Incheon,2017,969588,880755,597929,527063
39,Incheon,2018,997959,896083,624332,545118
40,Incheon,2019,1019365,909693,648403,563428
41,Incheon,2020,1032774,920462,661611,576858
42,Incheon,2021,1053451,932236,683337,592846
43,Incheon,2022,1087837,947397,717820,610949
44,Incheon,2023,1131300,973643,760435,636698
45,Gwangju,2015,486527,418798,376731,314850
46,Gwangju,2016,494547,426241,384750,322904
47,Gwangju,2017,505471,434083,395976,330863
48,Gwangju,2018,514767,441712,406329,340237
49,Gwangju,2019,526161,449864,419567,350625
50,Gwangju,2020,538275,453043,432295,355224
51,Gwangju,2021,542703,460280,438338,364441
52,Gwangju,2022,555185,467455,451265,372210
53,Gwangju,2023,560550,475172,456837,379997
54,Daejeon,2015,468885,417567,338250,292935
55,Daejeon,2016,474193,422560,343223,297514
56,Daejeon,2017,479161,421679,348033,296790
57,Daejeon,2018,486764,431181,355517,306580
58,Daejeon,2019,492797,433228,362190,310357
59,Daejeon,2020,496875,435193,367235,313960
60,Daejeon,2021,501218,438310,373590,319202
61,Daejeon,2022,510178,444383,383514,326462
62,Daejeon,2023,514123,450082,388467,332818
63,Ulsan,2015,357674,325256,253010,226036
64,Ulsan,2016,361273,332087,256003,232205
65,Ulsan,2017,371300,340057,264440,239612
66,Ulsan,2018,379741,347094,273230,249997
67,Ulsan,2019,391596,357671,286234,257781
68,Ulsan,2020,394634,363774,289432,264171
69,Ulsan,2021,396893,363980,291892,265153
70,Ulsan,2022,400155,364951,295539,266939
71,Ulsan,2023,405885,366922,301668,268977
72,Sejong,2015,81130,61873,62274,45029
73,Sejong,2016,86607,71329,67773,54072
74,Sejong,2017,104448,86033,85256,67908
75,Sejong,2018,118959,99021,99512,80703
76,Sejong,2019,132257,104450,112722,86045
77,Sejong,2020,136887,108583,117312,90232
78,Sejong,2021,143798,113398,124375,95088
79,Sejong,2022,150278,125990,130572,107663
80,Sejong,2023,153545,130486,133671,111901
81,Gyeonggi-do,2015,3693557,3227062,2502091,2116519
82,Gyeonggi-do,2016,3814834,3323094,2577259,2165590
83,Gyeonggi-do,2017,3949829,3432841,2676037,2239395
84,Gyeonggi-do,2018,4169100,3571108,2860249,2353988
85,Gyeonggi-do,2019,4354776,3724077,3021258,2494568
86,Gyeonggi-do,2020,4495115,3825263,3146667,2586868
87,Gyeonggi-do,2021,4608126,3922705,3254817,2680489
88,Gyeonggi-do,2022,4725372,3992555,3358597,2743861
89,Gyeonggi-do,2023,4859873,4107388,3477378,2847281
90,Gangwon,2015,569899,460550,297005,223162
91,Gangwon,2016,575967,476210,300788,228402
92,Gangwon,2017,586383,489427,307839,234774
93,Gangwon,2018,603644,501687,322796,244480
94,Gangwon,2019,627376,518922,346389,260819
95,Gangwon,2020,644023,534976,360950,274564
96,Gangwon,2021,654719,548185,370287,286047
97,Gangwon,2022,665631,559442,379372,296340
98,Gangwon,2023,674829,567582,387357,301084
99,Chungcheongbuk-do,2015,556951,455574,308352,245734
100,Chungcheongbuk-do,2016,568567,475560,316851,252732
101,Chungcheongbuk-do,2017,581855,499075,327319,262372
102,Chungcheongbuk-do,2018,607686,511027,351577,276250
103,Chungcheongbuk-do,2019,625957,528662,369668,290653
104,Chungcheongbuk-do,2020,640256,541017,383130,300974
105,Chungcheongbuk-do,2021,650224,550515,392988,309205
106,Chungcheongbuk-do,2022,659293,557263,400844,315938
107,Chungcheongbuk-do,2023,673539,567193,414551,324292
108,Chungcheongnam-do,2015,754372,618780,382323,302788
109,Chungcheongnam-do,2016,776746,648659,402808,324493
110,Chungcheongnam-do,2017,805555,686505,426251,344374
111,Chungcheongnam-do,2018,835752,710505,453830,365819
112,Chungcheongnam-do,2019,850525,728188,467790,382704
113,Chungcheongnam-do,2020,865008,738456,481332,391361
114,Chungcheongnam-do,2021,874666,747832,490513,398932
115,Chungcheongnam-do,2022,894935,751259,510531,408325
116,Chungcheongnam-do,2023,925749,769377,540689,422270
117,Jeollabuk-do,2015,687103,556747,364712,295622
118,Jeollabuk-do,2016,692563,563206,370071,299059
119,Jeollabuk-do,2017,698264,587414,374491,305836
120,Jeollabuk-do,2018,712850,599033,389225,316213
121,Jeollabuk-do,2019,724524,609159,401005,325230
122,Jeollabuk-do,2020,741221,618177,416861,332691
123,Jeollabuk-do,2021,747880,625663,424658,340009
124,Jeollabuk-do,2022,755382,622799,432466,343033
125,Jeollabuk-do,2023,765051,636004,443907,353938
126,Jeollanam-do,2015,747621,561844,306661,204715
127,Jeollanam-do,2016,755044,577502,316137,213203
128,Jeollanam-do,2017,766231,606128,324257,220963
129,Jeollanam-do,2018,777966,610715,335966,231382
130,Jeollanam-do,2019,787816,629635,346990,240274
131,Jeollanam-do,2020,802043,643892,359690,251776
132,Jeollanam-do,2021,811478,657510,369551,264023
133,Jeollanam-do,2022,824065,660598,381917,272300
134,Jeollanam-do,2023,835004,675685,392551,282085
135,Gyeongsangbuk-do,2015,995385,833130,449154,354669
136,Gyeongsangbuk-do,2016,1009941,855495,461577,372536
137,Gyeongsangbuk-do,2017,1038274,895585,485196,393372
138,Gyeongsangbuk-do,2018,1060505,920796,507230,417352
139,Gyeongsangbuk-do,2019,1081216,937206,529133,433919
140,Gyeongsangbuk-do,2020,1094306,949301,541246,444103
141,Gyeongsangbuk-do,2021,1103666,967125,551145,459965
142,Gyeongsangbuk-do,2022,1108186,969289,555358,463821
143,Gyeongsangbuk-do,2023,1106957,971187,564089,470713
144,Gyeongsangnam-do,2015,1134738,990585,641589,551367
145,Gyeongsangnam-do,2016,1151057,1021436,654679,571851
146,Gyeongsangnam-do,2017,1193912,1070485,694326,604003
147,Gyeongsangnam-do,2018,1226708,1098467,726589,630346
148,Gyeongsangnam-do,2019,1266739,1128065,767442,658400
149,Gyeongsangnam-do,2020,1296944,1148689,797850,678742
150,Gyeongsangnam-do,2021,1306263,1167226,807613,696582
151,Gyeongsangnam-do,2022,1311971,1172943,814296,705174
152,Gyeongsangnam-do,2023,1321044,1182067,823074,710917
153,Jeju,2015,195224,169674,62532,47825
154,Jeju,2016,206874,180854,65567,50099
155,Jeju,2017,221140,192530,70112,53243
156,Jeju,2018,233068,200587,74199,55842
157,Jeju,2019,241788,206991,76495,57438
158,Jeju,2020,246451,210286,78136,58325
159,Jeju,2021,249629,214900,79366,60060
160,Jeju,2022,252863,218507,80045,61192
161,Jeju,2023,257878,222794,81519,62088
