Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population)
Whole country,1990,649738,-,15.2,399312,9.3
Whole country,1991,709275,-,16.4,416872,9.6
Whole country,1992,730678,-,16.7,419774,9.6
Whole country,1993,715826,1.654,16,402593,9
Whole country,1994,721185,1.656,16,393121,8.7
Whole country,1995,715020,1.634,15.7,398484,8.7
Whole country,1996,691226,1.574,15,434911,9.4
Whole country,1997,675394,1.537,14.5,388960,8.4
Whole country,1998,641594,1.464,13.7,373500,8
Whole country,1999,620668,1.425,13.2,360407,7.6
Whole country,2000,640089,1.48,13.5,332090,7
Whole country,2001,559934,1.309,11.7,318407,6.7
Whole country,2002,496911,1.178,10.3,304877,6.3
Whole country,2003,495036,1.191,10.2,302503,6.3
Whole country,2004,476958,1.164,9.8,308598,6.4
Whole country,2005,438707,1.085,9,314304,6.5
Whole country,2006,451759,1.132,9.2,330634,6.8
Whole country,2007,496822,1.259,10.1,343559,7
Whole country,2008,465892,1.192,9.4,327715,6.6
Whole country,2009,444849,1.149,9,309759,6.2
Whole country,2010,470171,1.226,9.4,326104,6.5
Whole country,2012,484550,1.297,9.6,327073,6.5
Whole country,2013,436455,1.187,8.6,322807,6.4
Whole country,2014,435435,1.205,8.6,305507,6
Whole country,2017,357771,1.052,7,264455,5.2
Whole country,2018,326822,0.977,6.4,257622,5
Whole country,2019,302676,0.918,5.9,239159,4.7
Whole country,2020,272337,0.837,5.3,213502,4.2
Whole country,2021,260562,0.808,5.1,192507,3.8
Whole country,2023,230028,0.721,4.5,193657,3.8
Whole country,2024,238300,0.75,4.7,222412,4.4
Seoul,1990,168838,-,16.1,103843,9.9
Seoul,1991,180301,-,17.2,108370,10.4
Seoul,1992,182691,-,17.5,107821,10.3
Seoul,1993,175827,1.558,16.1,103511,9.5
Seoul,1994,175707,1.565,16.2,100960,9.3
Seoul,1995,166236,1.512,15.6,98525,9.2
Seoul,1996,152140,1.407,14.5,105100,10
Seoul,1997,142724,1.338,13.8,93932,9.1
Seoul,1998,134604,1.272,13.1,88219,8.6
Seoul,1999,128120,1.218,12.5,85215,8.3
Seoul,2000,133154,1.275,12.9,78745,7.7
Seoul,2001,114764,1.111,11.2,77376,7.5
Seoul,2002,102008,1.006,10,72696,7.1
Seoul,2003,101227,1.014,9.9,72750,7.1
Seoul,2004,99828,1.015,9.8,71553,7
Seoul,2005,90468,0.932,8.9,71286,7
Seoul,2006,93922,0.98,9.2,73924,7.3
Seoul,2007,101249,1.068,9.9,76399,7.5
Seoul,2008,94736,1.01,9.3,71753,7
Seoul,2009,89594,0.962,8.8,68841,6.7
Seoul,2010,93266,1.015,9.2,70466,6.9
Seoul,2012,93914,1.059,9.3,71695,7.1
Seoul,2013,84066,0.968,8.4,68819,6.9
Seoul,2014,83711,0.983,8.4,64823,6.5
Seoul,2017,65389,0.836,6.7,53776,5.5
Seoul,2018,58074,0.761,6,52005,5.4
Seoul,2019,53673,0.717,5.6,48261,5
Seoul,2020,47445,0.642,5,44746,4.7
Seoul,2021,45531,0.626,4.8,37012,3.9
Seoul,2023,39456,0.552,4.2,36324,3.9
Seoul,2024,41600,0.58,4.5,42471,4.6
Busan,1990,56014,-,14.7,32345,8.5
Busan,1991,59793,-,15.7,32861,8.6
Busan,1992,59702,-,15.6,33435,8.7
Busan,1993,56588,1.505,14.6,31395,8.1
Busan,1994,54427,1.468,14.1,29896,7.8
Busan,1995,52615,1.424,13.5,30800,7.9
Busan,1996,50139,1.386,12.9,32820,8.5
Busan,1997,46284,1.303,12,27890,7.2
Busan,1998,43200,1.241,11.2,27123,7.1
Busan,1999,41237,1.207,10.8,25495,6.7
Busan,2000,41222,1.235,10.8,23343,6.1
Busan,2001,35848,1.103,9.5,21825,5.8
Busan,2002,30767,0.975,8.2,20916,5.6
Busan,2003,30117,0.988,8.1,20027,5.4
Busan,2004,28231,0.953,7.7,19898,5.4
Busan,2005,25681,0.887,7,18973,5.2
Busan,2006,25881,0.915,7.1,20017,5.5
Busan,2007,28426,1.024,7.9,21484,6
Busan,2008,26670,0.98,7.5,20149,5.6
Busan,2009,25110,0.94,7.1,18614,5.2
Busan,2010,27415,1.045,7.8,20195,5.7
Busan,2012,28673,1.135,8.2,20362,5.8
Busan,2013,25831,1.049,7.4,20734,5.9
Busan,2014,26190,1.09,7.5,18927,5.4
Busan,2017,21480,0.976,6.2,15677,4.5
Busan,2018,19152,0.899,5.6,14781,4.3
Busan,2019,17049,0.827,5,13780,4.1
Busan,2020,15058,0.747,4.5,12128,3.6
Busan,2021,14446,0.728,4.3,11081,3.3
Busan,2023,12866,0.664,3.9,10303,3.1
Busan,2024,13100,0.68,4,11499,3.5
Daegu,1990,33261,-,14.5,18250,8
Daegu,1991,35236,-,15.1,18905,8.1
Daegu,1992,36525,-,15.4,19314,8.1
Daegu,1993,35933,1.556,15.6,19010,8.3
Daegu,1994,36370,1.557,15.6,18814,8.1
Daegu,1995,38779,1.574,15.7,20485,8.3
Daegu,1996,36954,1.497,14.9,21537,8.7
Daegu,1997,35219,1.444,14.2,19179,7.7
Daegu,1998,32231,1.336,12.9,18139,7.3
Daegu,1999,31308,1.313,12.5,17850,7.1
Daegu,2000,32477,1.378,12.9,16124,6.4
Daegu,2001,28111,1.216,11.1,14833,5.9
Daegu,2002,24260,1.076,9.6,13741,5.4
Daegu,2003,24513,1.116,9.7,14028,5.5
Daegu,2004,23259,1.087,9.2,13792,5.5
Daegu,2005,20804,1.001,8.3,13152,5.2
Daegu,2006,20360,1.011,8.1,13892,5.5
Daegu,2007,22295,1.137,8.9,14655,5.9
Daegu,2008,20562,1.072,8.2,13743,5.5
Daegu,2009,19399,1.029,7.8,12844,5.2
Daegu,2010,20557,1.109,8.3,13479,5.4
Daegu,2012,21472,1.217,8.6,13642,5.5
Daegu,2013,19340,1.127,7.8,13601,5.5
Daegu,2014,19361,1.169,7.8,12552,5.1
Daegu,2017,15946,1.067,6.5,11392,4.6
Daegu,2018,14400,0.987,5.9,10967,4.5
Daegu,2019,13233,0.932,5.4,9880,4.1
Daegu,2020,11193,0.807,4.6,8340,3.5
Daegu,2021,10661,0.785,4.5,7287,3.1
Daegu,2023,9410,0.702,4,8150,3.4
Daegu,2024,10100,0.75,4.3,9289,3.9
Incheon,1990,34749,-,18.3,18239,9.6
Incheon,1991,40772,-,20.6,19885,10
Incheon,1992,42840,-,20.7,20360,9.9
Incheon,1993,41731,1.815,19.9,19942,9.5
Incheon,1994,41680,1.776,19.2,19766,9.1
Incheon,1995,41246,1.714,17.8,21047,9.1
Incheon,1996,39285,1.618,16.6,23252,9.8
Incheon,1997,38103,1.578,15.8,20528,8.5
Incheon,1998,35541,1.477,14.4,19929,8.1
Incheon,1999,34323,1.449,13.7,18718,7.5
Incheon,2000,34433,1.473,13.6,17857,7.1
Incheon,2001,30494,1.324,11.9,17066,6.7
Incheon,2002,26775,1.185,10.4,16851,6.6
Incheon,2003,26832,1.213,10.4,15720,6.1
Incheon,2004,25092,1.158,9.7,15900,6.2
Incheon,2005,23026,1.075,8.9,16515,6.4
Incheon,2006,23711,1.116,9.1,17261,6.6
Incheon,2007,26712,1.257,10.1,18227,6.9
Incheon,2008,25365,1.186,9.5,18108,6.8
Incheon,2009,24379,1.143,9,16643,6.2
Incheon,2010,25752,1.214,9.5,17407,6.4
Incheon,2012,27781,1.301,9.9,18079,6.5
Incheon,2013,25560,1.195,9,18010,6.4
Incheon,2014,25786,1.212,9,17251,6
Incheon,2017,20445,1.007,7,15235,5.2
Incheon,2018,20087,1.006,6.9,14850,5.1
Incheon,2019,18522,0.94,6.3,13401,4.6
Incheon,2020,16040,0.829,5.5,11574,4
Incheon,2021,14947,0.778,5.1,10881,3.7
Incheon,2023,13659,0.694,4.6,11621,3.9
Incheon,2024,15200,0.76,5.1,13223,4.4
Gwangju,1990,17388,-,15.5,8921,7.9
Gwangju,1991,20063,-,17.4,9706,8.4
Gwangju,1992,21942,-,18.5,10581,8.9
Gwangju,1993,22062,1.809,17.8,10160,8.2
Gwangju,1994,22571,1.818,17.9,10345,8.2
Gwangju,1995,22907,1.83,17.9,10377,8.1
Gwangju,1996,21830,1.726,16.9,11822,9.1
Gwangju,1997,21684,1.697,16.5,10654,8.1
Gwangju,1998,20796,1.613,15.6,10319,7.7
Gwangju,1999,19244,1.486,14.3,10303,7.6
Gwangju,2000,21148,1.636,15.5,9557,7
Gwangju,2001,18198,1.421,13.2,8765,6.4
Gwangju,2002,16036,1.264,11.5,8230,5.9
Gwangju,2003,15954,1.278,11.4,7760,5.6
Gwangju,2004,14729,1.203,10.5,8012,5.7
Gwangju,2005,13327,1.105,9.5,7827,5.6
Gwangju,2006,13679,1.152,9.7,8487,6
Gwangju,2007,14810,1.262,10.5,8858,6.3
Gwangju,2008,13890,1.198,9.8,8472,6
Gwangju,2009,13101,1.137,9.2,8088,5.7
Gwangju,2010,13979,1.223,9.7,8566,6
Gwangju,2012,14392,1.295,9.9,8596,5.9
Gwangju,2013,12729,1.17,8.7,8820,6
Gwangju,2014,12729,1.199,8.7,8213,5.6
Gwangju,2017,10120,1.053,6.9,7141,4.9
Gwangju,2018,9105,0.972,6.3,6632,4.6
Gwangju,2019,8364,0.913,5.8,6297,4.3
Gwangju,2020,7318,0.811,5.1,5560,3.8
Gwangju,2021,7956,0.896,5.5,4901,3.4
Gwangju,2023,6172,0.706,4.3,5169,3.6
Gwangju,2024,6000,0.7,4.3,5688,4
Daejeon,1990,15822,-,15.3,8517,8.2
Daejeon,1991,18462,-,17,9316,8.6
Daejeon,1992,19737,-,17.4,10354,9.1
Daejeon,1993,20157,1.747,17.3,10493,9
Daejeon,1994,21397,1.763,17.7,10494,8.7
Daejeon,1995,21619,1.739,17.3,10748,8.6
Daejeon,1996,21039,1.657,16.4,11573,9
Daejeon,1997,20480,1.593,15.7,10545,8.1
Daejeon,1998,19294,1.492,14.5,10565,7.9
Daejeon,1999,18729,1.443,13.8,10311,7.6
Daejeon,2000,19570,1.501,14.2,9664,7
Daejeon,2001,17290,1.33,12.4,9505,6.8
Daejeon,2002,15631,1.207,11.1,9131,6.5
Daejeon,2003,15712,1.221,11,8973,6.3
Daejeon,2004,15024,1.181,10.4,8857,6.2
Daejeon,2005,13950,1.107,9.6,9035,6.2
Daejeon,2006,14489,1.158,9.9,9502,6.5
Daejeon,2007,15780,1.274,10.7,9684,6.6
Daejeon,2008,14856,1.215,10,9499,6.4
Daejeon,2009,13915,1.156,9.4,8885,6
Daejeon,2010,14314,1.205,9.6,9351,6.3
Daejeon,2012,15279,1.315,10.1,9745,6.5
Daejeon,2013,14099,1.234,9.3,9621,6.3
Daejeon,2014,13962,1.25,9.2,9118,6
Daejeon,2017,10851,1.075,7.2,7697,5.1
Daejeon,2018,9337,0.952,6.3,7377,5
Daejeon,2019,8410,0.883,5.7,6602,4.5
Daejeon,2020,7481,0.805,5.1,5976,4.1
Daejeon,2021,7414,0.81,5.1,5419,3.7
Daejeon,2023,7194,0.787,5,5212,3.6
Daejeon,2024,7300,0.79,5.1,7986,5.6
Ulsan,1990,-,-,-,-,-
Ulsan,1991,-,-,-,-,-
Ulsan,1992,-,-,-,-,-
Ulsan,1993,-,-,-,-,-
Ulsan,1994,-,-,-,-,-
Ulsan,1995,-,-,-,-,-
Ulsan,1996,-,-,-,-,-
Ulsan,1997,18273,1.794,18.3,8857,8.9
Ulsan,1998,16697,1.664,16.5,8433,8.3
Ulsan,1999,15740,1.605,15.4,7670,7.5
Ulsan,2000,15816,1.633,15.3,6890,6.7
Ulsan,2001,13600,1.423,13,6730,6.4
Ulsan,2002,11666,1.242,11,6512,6.1
Ulsan,2003,11720,1.28,11,6528,6.1
Ulsan,2004,11151,1.241,10.4,6647,6.2
Ulsan,2005,10469,1.186,9.7,6939,6.4
Ulsan,2006,10740,1.242,9.9,7493,6.9
Ulsan,2007,11955,1.403,10.9,7563,6.9
Ulsan,2008,11365,1.338,10.3,7837,7.1
Ulsan,2009,11033,1.308,9.9,7267,6.5
Ulsan,2010,11432,1.369,10.2,7660,6.9
Ulsan,2012,12160,1.481,10.7,7887,7
Ulsan,2013,11330,1.391,9.9,7998,7
Ulsan,2014,11556,1.437,10,7674,6.6
Ulsan,2017,9381,1.261,8.1,6331,5.4
Ulsan,2018,8149,1.131,7.1,5894,5.1
Ulsan,2019,7539,1.084,6.6,5442,4.7
Ulsan,2020,6617,0.984,5.8,4737,4.2
Ulsan,2021,6127,0.94,5.5,4077,3.6
Ulsan,2023,5082,0.814,4.6,4274,3.9
Ulsan,2024,5300,0.86,4.8,4726,4.3
Sejong,1990,-,-,-,-,-
Sejong,1991,-,-,-,-,-
Sejong,1992,-,-,-,-,-
Sejong,1993,-,-,-,-,-
Sejong,1994,-,-,-,-,-
Sejong,1995,-,-,-,-,-
Sejong,1996,-,-,-,-,-
Sejong,1997,-,-,-,-,-
Sejong,1998,-,-,-,-,-
Sejong,1999,-,-,-,-,-
Sejong,2000,-,-,-,-,-
Sejong,2001,-,-,-,-,-
Sejong,2002,-,-,-,-,-
Sejong,2003,-,-,-,-,-
Sejong,2004,-,-,-,-,-
Sejong,2005,-,-,-,-,-
Sejong,2006,-,-,-,-,-
Sejong,2007,-,-,-,-,-
Sejong,2008,-,-,-,-,-
Sejong,2009,-,-,-,-,-
Sejong,2010,-,-,-,-,-
Sejong,2012,1054,1.597,10.2,634,6.1
Sejong,2013,1111,1.435,9.5,743,6.4
Sejong,2014,1344,1.354,9.7,920,6.7
Sejong,2017,3504,1.668,13.4,1728,6.6
Sejong,2018,3703,1.566,12.5,2038,6.9
Sejong,2019,3819,1.472,11.7,2039,6.2
Sejong,2020,3468,1.277,10,1854,5.3
Sejong,2021,3570,1.277,9.8,1627,4.5
Sejong,2023,2761,0.971,7.2,1705,4.4
Sejong,2024,2900,1.03,7.5,1842,4.8
Gyeonggi-do,1990,115045,-,19.3,60681,10.2
Gyeonggi-do,1991,131016,-,20.8,64664,10.3
Gyeonggi-do,1992,136116,-,20.5,65710,9.9
Gyeonggi-do,1993,135225,1.861,19.9,65385,9.6
Gyeonggi-do,1994,138510,1.825,19.2,66354,9.2
Gyeonggi-do,1995,141710,1.812,18.7,71557,9.5
Gyeonggi-do,1996,142235,1.725,17.8,83572,10.5
Gyeonggi-do,1997,143002,1.689,17.2,76966,9.3
Gyeonggi-do,1998,137066,1.602,16,74603,8.7
Gyeonggi-do,1999,134335,1.565,15.3,72081,8.2
Gyeonggi-do,2000,141704,1.628,15.6,69160,7.6
Gyeonggi-do,2001,126264,1.437,13.5,68516,7.3
Gyeonggi-do,2002,116854,1.305,12,68330,7
Gyeonggi-do,2003,120433,1.321,12,68255,6.8
Gyeonggi-do,2004,117812,1.28,11.4,70236,6.8
Gyeonggi-do,2005,109533,1.183,10.4,72431,6.8
Gyeonggi-do,2006,115111,1.239,10.7,77231,7.1
Gyeonggi-do,2007,126648,1.361,11.5,81248,7.4
