Area,Year,Type,Count
Busan,2012,Privately owned apartment,582898
Busan,2012,privately owned house,942667
Busan,2012,total number of apartments,659821
Busan,2012,total number of houses,1078853
Busan,2013,Privately owned apartment,601748
Busan,2013,privately owned house,1000941
Busan,2013,total number of apartments,683785
Busan,2013,total number of houses,1111427
Busan,2014,Privately owned apartment,624341
Busan,2014,privately owned house,1017300
Busan,2014,total number of apartments,710774
Busan,2014,total number of houses,1133236
Busan,2015,Privately owned apartment,648816
Busan,2015,privately owned house,1054112
Busan,2015,total number of apartments,738068
Busan,2015,total number of houses,1164352
Busan,2016,Privately owned apartment,667623
Busan,2016,privately owned house,1063107
Busan,2016,total number of apartments,750122
Busan,2016,total number of houses,1174034
Busan,2017,Privately owned apartment,686371
Busan,2017,privately owned house,1090217
Busan,2017,total number of apartments,776079
Busan,2017,total number of houses,1200422
Busan,2018,Privately owned apartment,703077
Busan,2018,privately owned house,1102122
Busan,2018,total number of apartments,798281
Busan,2018,total number of houses,1220782
Busan,2019,Privately owned apartment,719139
Busan,2019,privately owned house,1112532
Busan,2019,total number of apartments,831294
Busan,2019,total number of houses,1249757
Busan,2020,Privately owned apartment,740198
Busan,2020,privately owned house,1129142
Busan,2020,total number of apartments,860042
Busan,2020,total number of houses,1275859
Busan,2021,Privately owned apartment,755920
Busan,2021,privately owned house,1138534
Busan,2021,total number of apartments,872073
Busan,2021,total number of houses,1282831
Busan,2022,Privately owned apartment,769048
Busan,2022,privately owned house,1149256
Busan,2022,total number of apartments,898404
Busan,2022,total number of houses,1308294
Busan,2023,Privately owned apartment,794304
Busan,2023,privately owned house,1175517
Busan,2023,total number of apartments,920155
Busan,2023,total number of houses,1329355
Chungcheongbuk-do,2012,Privately owned apartment,223140
Chungcheongbuk-do,2012,privately owned house,433200
Chungcheongbuk-do,2012,total number of apartments,279576
Chungcheongbuk-do,2012,total number of houses,520489
Chungcheongbuk-do,2013,Privately owned apartment,230551
Chungcheongbuk-do,2013,privately owned house,449694
Chungcheongbuk-do,2013,total number of apartments,285720
Chungcheongbuk-do,2013,total number of houses,530845
Chungcheongbuk-do,2014,Privately owned apartment,236237
Chungcheongbuk-do,2014,privately owned house,450768
Chungcheongbuk-do,2014,total number of apartments,295538
Chungcheongbuk-do,2014,total number of houses,543324
Chungcheongbuk-do,2015,Privately owned apartment,245670
Chungcheongbuk-do,2015,privately owned house,455475
Chungcheongbuk-do,2015,total number of apartments,308352
Chungcheongbuk-do,2015,total number of houses,556951
Chungcheongbuk-do,2016,Privately owned apartment,252657
Chungcheongbuk-do,2016,privately owned house,475450
Chungcheongbuk-do,2016,total number of apartments,316851
Chungcheongbuk-do,2016,total number of houses,568567
Chungcheongbuk-do,2017,Privately owned apartment,262239
Chungcheongbuk-do,2017,privately owned house,498845
Chungcheongbuk-do,2017,total number of apartments,327319
Chungcheongbuk-do,2017,total number of houses,581855
Chungcheongbuk-do,2018,Privately owned apartment,276096
Chungcheongbuk-do,2018,privately owned house,510750
Chungcheongbuk-do,2018,total number of apartments,351577
Chungcheongbuk-do,2018,total number of houses,607686
Chungcheongbuk-do,2019,Privately owned apartment,290444
Chungcheongbuk-do,2019,privately owned house,528314
Chungcheongbuk-do,2019,total number of apartments,369668
Chungcheongbuk-do,2019,total number of houses,625957
Chungcheongbuk-do,2020,Privately owned apartment,300714
Chungcheongbuk-do,2020,privately owned house,540586
Chungcheongbuk-do,2020,total number of apartments,383130
Chungcheongbuk-do,2020,total number of houses,640256
Chungcheongbuk-do,2021,Privately owned apartment,308926
Chungcheongbuk-do,2021,privately owned house,550063
Chungcheongbuk-do,2021,total number of apartments,392988
Chungcheongbuk-do,2021,total number of houses,650224
Chungcheongbuk-do,2022,Privately owned apartment,315645
Chungcheongbuk-do,2022,privately owned house,556789
Chungcheongbuk-do,2022,total number of apartments,400844
Chungcheongbuk-do,2022,total number of houses,659293
Chungcheongbuk-do,2023,Privately owned apartment,323962
Chungcheongbuk-do,2023,privately owned house,566674
Chungcheongbuk-do,2023,total number of apartments,414551
Chungcheongbuk-do,2023,total number of houses,673539
Chungcheongnam-do,2012,Privately owned apartment,259458
Chungcheongnam-do,2012,privately owned house,548949
Chungcheongnam-do,2012,total number of apartments,345518
Chungcheongnam-do,2012,total number of houses,708475
Chungcheongnam-do,2013,Privately owned apartment,271176
Chungcheongnam-do,2013,privately owned house,577655
Chungcheongnam-do,2013,total number of apartments,354866
Chungcheongnam-do,2013,total number of houses,721768
Chungcheongnam-do,2014,Privately owned apartment,288260
Chungcheongnam-do,2014,privately owned house,598997
Chungcheongnam-do,2014,total number of apartments,366861
Chungcheongnam-do,2014,total number of houses,741405
Chungcheongnam-do,2015,Privately owned apartment,302643
Chungcheongnam-do,2015,privately owned house,618572
Chungcheongnam-do,2015,total number of apartments,382323
Chungcheongnam-do,2015,total number of houses,754372
Chungcheongnam-do,2016,Privately owned apartment,324356
Chungcheongnam-do,2016,privately owned house,648461
Chungcheongnam-do,2016,total number of apartments,402808
Chungcheongnam-do,2016,total number of houses,776746
Chungcheongnam-do,2017,Privately owned apartment,344151
Chungcheongnam-do,2017,privately owned house,686088
Chungcheongnam-do,2017,total number of apartments,426251
Chungcheongnam-do,2017,total number of houses,805555
Chungcheongnam-do,2018,Privately owned apartment,365534
Chungcheongnam-do,2018,privately owned house,710035
Chungcheongnam-do,2018,total number of apartments,453830
Chungcheongnam-do,2018,total number of houses,835752
Chungcheongnam-do,2019,Privately owned apartment,382350
Chungcheongnam-do,2019,privately owned house,727628
Chungcheongnam-do,2019,total number of apartments,467790
Chungcheongnam-do,2019,total number of houses,850525
Chungcheongnam-do,2020,Privately owned apartment,390998
Chungcheongnam-do,2020,privately owned house,737853
Chungcheongnam-do,2020,total number of apartments,481332
Chungcheongnam-do,2020,total number of houses,865008
Chungcheongnam-do,2021,Privately owned apartment,398486
Chungcheongnam-do,2021,privately owned house,747131
Chungcheongnam-do,2021,total number of apartments,490513
Chungcheongnam-do,2021,total number of houses,874666
Chungcheongnam-do,2022,Privately owned apartment,407755
Chungcheongnam-do,2022,privately owned house,750427
Chungcheongnam-do,2022,total number of apartments,510531
Chungcheongnam-do,2022,total number of houses,894935
Chungcheongnam-do,2023,Privately owned apartment,421714
Chungcheongnam-do,2023,privately owned house,768538
Chungcheongnam-do,2023,total number of apartments,540689
Chungcheongnam-do,2023,total number of houses,925749
Daegu,2012,Privately owned apartment,409732
Daegu,2012,privately owned house,627382
Daegu,2012,total number of apartments,470836
Daegu,2012,total number of houses,703026
Daegu,2013,Privately owned apartment,420536
Daegu,2013,privately owned house,642457
Daegu,2013,total number of apartments,483089
Daegu,2013,total number of houses,715499
Daegu,2014,Privately owned apartment,436498
Daegu,2014,privately owned house,650004
Daegu,2014,total number of apartments,491094
Daegu,2014,total number of houses,716961
Daegu,2015,Privately owned apartment,445307
Daegu,2015,privately owned house,667536
Daegu,2015,total number of apartments,509068
Daegu,2015,total number of houses,738100
Daegu,2016,Privately owned apartment,463380
Daegu,2016,privately owned house,685240
Daegu,2016,total number of apartments,532090
Daegu,2016,total number of houses,761054
Daegu,2017,Privately owned apartment,483971
Daegu,2017,privately owned house,704573
Daegu,2017,total number of apartments,555900
Daegu,2017,total number of houses,783895
Daegu,2018,Privately owned apartment,496307
Daegu,2018,privately owned house,712585
Daegu,2018,total number of apartments,567543
Daegu,2018,total number of houses,792998
Daegu,2019,Privately owned apartment,504766
Daegu,2019,privately owned house,715803
Daegu,2019,total number of apartments,579777
Daegu,2019,total number of houses,800340
Daegu,2020,Privately owned apartment,512520
Daegu,2020,privately owned house,717726
Daegu,2020,total number of apartments,595392
Daegu,2020,total number of houses,809802
Daegu,2021,Privately owned apartment,520922
Daegu,2021,privately owned house,722522
Daegu,2021,total number of apartments,605787
Daegu,2021,total number of houses,815588
Daegu,2022,Privately owned apartment,533882
Daegu,2022,privately owned house,732787
Daegu,2022,total number of apartments,627191
Daegu,2022,total number of houses,834637
Daegu,2023,Privately owned apartment,549924
Daegu,2023,privately owned house,758798
Daegu,2023,total number of apartments,658745
Daegu,2023,total number of houses,876286
Daejeon,2012,Privately owned apartment,267416
Daejeon,2012,privately owned house,384405
Daejeon,2012,total number of apartments,313705
Daejeon,2012,total number of houses,443787
Daejeon,2013,Privately owned apartment,271653
Daejeon,2013,privately owned house,391646
Daejeon,2013,total number of apartments,319326
Daejeon,2013,total number of houses,449622
Daejeon,2014,Privately owned apartment,282649
Daejeon,2014,privately owned house,402794
Daejeon,2014,total number of apartments,330512
Daejeon,2014,total number of houses,459481
Daejeon,2015,Privately owned apartment,292894
Daejeon,2015,privately owned house,417505
Daejeon,2015,total number of apartments,338250
Daejeon,2015,total number of houses,468885
Daejeon,2016,Privately owned apartment,297461
Daejeon,2016,privately owned house,422487
Daejeon,2016,total number of apartments,343223
Daejeon,2016,total number of houses,474193
Daejeon,2017,Privately owned apartment,296686
Daejeon,2017,privately owned house,421521
Daejeon,2017,total number of apartments,348033
Daejeon,2017,total number of houses,479161
Daejeon,2018,Privately owned apartment,306455
Daejeon,2018,privately owned house,430993
Daejeon,2018,total number of apartments,355517
Daejeon,2018,total number of houses,486764
Daejeon,2019,Privately owned apartment,310220
Daejeon,2019,privately owned house,433024
Daejeon,2019,total number of apartments,362190
Daejeon,2019,total number of houses,492797
Daejeon,2020,Privately owned apartment,313798
Daejeon,2020,privately owned house,434963
Daejeon,2020,total number of apartments,367235
Daejeon,2020,total number of houses,496875
Daejeon,2021,Privately owned apartment,319019
Daejeon,2021,privately owned house,438053
Daejeon,2021,total number of apartments,373590
Daejeon,2021,total number of houses,501218
Daejeon,2022,Privately owned apartment,326262
Daejeon,2022,privately owned house,444104
Daejeon,2022,total number of apartments,383514
Daejeon,2022,total number of houses,510178
Daejeon,2023,Privately owned apartment,332599
Daejeon,2023,privately owned house,449774
Daejeon,2023,total number of apartments,388467
Daejeon,2023,total number of houses,514123
Gangwon State,2012,Privately owned apartment,201804
Gangwon State,2012,privately owned house,424380
Gangwon State,2012,total number of apartments,275592
Gangwon State,2012,total number of houses,547769
Gangwon State,2013,Privately owned apartment,207252
Gangwon State,2013,privately owned house,446576
Gangwon State,2013,total number of apartments,278358
Gangwon State,2013,total number of houses,552576
Gangwon State,2014,Privately owned apartment,215153
Gangwon State,2014,privately owned house,447941
Gangwon State,2014,total number of apartments,287031
Gangwon State,2014,total number of houses,560843
Gangwon State,2015,Privately owned apartment,223096
Gangwon State,2015,privately owned house,460440
Gangwon State,2015,total number of apartments,297005
Gangwon State,2015,total number of houses,569899
Gangwon State,2016,Privately owned apartment,228320
Gangwon State,2016,privately owned house,476088
Gangwon State,2016,total number of apartments,300788
Gangwon State,2016,total number of houses,575967
Gangwon State,2017,Privately owned apartment,234627
Gangwon State,2017,privately owned house,489130
Gangwon State,2017,total number of apartments,307839
Gangwon State,2017,total number of houses,586383
Gangwon State,2018,Privately owned apartment,244304
Gangwon State,2018,privately owned house,501341
Gangwon State,2018,total number of apartments,322796
Gangwon State,2018,total number of houses,603644
Gangwon State,2019,Privately owned apartment,260639
Gangwon State,2019,privately owned house,518534
Gangwon State,2019,total number of apartments,346389
Gangwon State,2019,total number of houses,627376
Gangwon State,2020,Privately owned apartment,274363
Gangwon State,2020,privately owned house,534566
Gangwon State,2020,total number of apartments,360950
Gangwon State,2020,total number of houses,644023
Gangwon State,2021,Privately owned apartment,285818
Gangwon State,2021,privately owned house,547743
Gangwon State,2021,total number of apartments,370287
Gangwon State,2021,total number of houses,654719
Gangwon State,2022,Privately owned apartment,296100
Gangwon State,2022,privately owned house,558983
Gangwon State,2022,total number of apartments,379372
Gangwon State,2022,total number of houses,665631
Gangwon State,2023,Privately owned apartment,300843
Gangwon State,2023,privately owned house,567121
Gangwon State,2023,total number of apartments,387357
Gangwon State,2023,total number of houses,674829
Gwangju,2012,Privately owned apartment,281469
Gwangju,2012,privately owned house,382146
Gwangju,2012,total number of apartments,348622
Gwangju,2012,total number of houses,458037
Gwangju,2013,Privately owned apartment,287622
Gwangju,2013,privately owned house,390470
Gwangju,2013,total number of apartments,356907
Gwangju,2013,total number of houses,467333
Gwangju,2014,Privately owned apartment,302158
Gwangju,2014,privately owned house,401789
Gwangju,2014,total number of apartments,369526
Gwangju,2014,total number of houses,477400
Gwangju,2015,Privately owned apartment,314820
Gwangju,2015,privately owned house,418763
Gwangju,2015,total number of apartments,376731
Gwangju,2015,total number of houses,486527
Gwangju,2016,Privately owned apartment,322869
Gwangju,2016,privately owned house,426202
Gwangju,2016,total number of apartments,384750
Gwangju,2016,total number of houses,494547
Gwangju,2017,Privately owned apartment,330782
Gwangju,2017,privately owned house,433969
Gwangju,2017,total number of apartments,395976
Gwangju,2017,total number of houses,505471
Gwangju,2018,Privately owned apartment,340144
Gwangju,2018,privately owned house,441585
Gwangju,2018,total number of apartments,406329
Gwangju,2018,total number of houses,514767
Gwangju,2019,Privately owned apartment,350515
Gwangju,2019,privately owned house,449711
Gwangju,2019,total number of apartments,419567
Gwangju,2019,total number of houses,526161
Gwangju,2020,Privately owned apartment,355089
Gwangju,2020,privately owned house,452867
Gwangju,2020,total number of apartments,432295
Gwangju,2020,total number of houses,538275
Gwangju,2021,Privately owned apartment,364301
Gwangju,2021,privately owned house,460088
Gwangju,2021,total number of apartments,438338
Gwangju,2021,total number of houses,542703
Gwangju,2022,Privately owned apartment,372071
Gwangju,2022,privately owned house,467264
Gwangju,2022,total number of apartments,451265
Gwangju,2022,total number of houses,555185
Gwangju,2023,Privately owned apartment,379840
Gwangju,2023,privately owned house,474956
Gwangju,2023,total number of apartments,456837
Gwangju,2023,total number of houses,560550
Gyeonggi-do,2012,Privately owned apartment,1969528
Gyeonggi-do,2012,privately owned house,2943112
Gyeonggi-do,2012,total number of apartments,2323247
Gyeonggi-do,2012,total number of houses,3401339
Gyeonggi-do,2013,Privately owned apartment,2018630
Gyeonggi-do,2013,privately owned house,3051810
Gyeonggi-do,2013,total number of apartments,2371924
Gyeonggi-do,2013,total number of houses,3485881
Gyeonggi-do,2014,Privately owned apartment,2060779
Gyeonggi-do,2014,privately owned house,3107200
Gyeonggi-do,2014,total number of apartments,2426560
Gyeonggi-do,2014,total number of houses,3571076
Gyeonggi-do,2015,Privately owned apartment,2115908
Gyeonggi-do,2015,privately owned house,3226048
Gyeonggi-do,2015,total number of apartments,2502091
Gyeonggi-do,2015,total number of houses,3693557
Gyeonggi-do,2016,Privately owned apartment,2164804
Gyeonggi-do,2016,privately owned house,3321793
Gyeonggi-do,2016,total number of apartments,2577259
Gyeonggi-do,2016,total number of houses,3814834
Gyeonggi-do,2017,Privately owned apartment,2237980
Gyeonggi-do,2017,privately owned house,3430434
Gyeonggi-do,2017,total number of apartments,2676037
Gyeonggi-do,2017,total number of houses,3949829
Gyeonggi-do,2018,Privately owned apartment,2352161
Gyeonggi-do,2018,privately owned house,3567956
Gyeonggi-do,2018,total number of apartments,2860249
Gyeonggi-do,2018,total number of houses,4169100
Gyeonggi-do,2019,Privately owned apartment,2492579
Gyeonggi-do,2019,privately owned house,3720475
Gyeonggi-do,2019,total number of apartments,3021258
Gyeonggi-do,2019,total number of houses,4354776
Gyeonggi-do,2020,Privately owned apartment,2584396
Gyeonggi-do,2020,privately owned house,3820945
Gyeonggi-do,2020,total number of apartments,3146667
Gyeonggi-do,2020,total number of houses,4495115
Gyeonggi-do,2021,Privately owned apartment,2677838
Gyeonggi-do,2021,privately owned house,3918186
Gyeonggi-do,2021,total number of apartments,3254817
Gyeonggi-do,2021,total number of houses,4608126
Gyeonggi-do,2022,Privately owned apartment,2741128
Gyeonggi-do,2022,privately owned house,3987834
Gyeonggi-do,2022,total number of apartments,3358597
Gyeonggi-do,2022,total number of houses,4725372
Gyeonggi-do,2023,Privately owned apartment,2844385
Gyeonggi-do,2023,privately owned house,4102296
Gyeonggi-do,2023,total number of apartments,3477378
Gyeonggi-do,2023,total number of houses,4859873
Gyeongsangbuk-do,2012,Privately owned apartment,319584
Gyeongsangbuk-do,2012,privately owned house,768357
Gyeongsangbuk-do,2012,total number of apartments,409120
Gyeongsangbuk-do,2012,total number of houses,949692
Gyeongsangbuk-do,2013,Privately owned apartment,325654
Gyeongsangbuk-do,2013,privately owned house,794807
Gyeongsangbuk-do,2013,total number of apartments,418332
Gyeongsangbuk-do,2013,total number of houses,963566
Gyeongsangbuk-do,2014,Privately owned apartment,333844
Gyeongsangbuk-do,2014,privately owned house,786657
Gyeongsangbuk-do,2014,total number of apartments,427860
Gyeongsangbuk-do,2014,total number of houses,978667
Gyeongsangbuk-do,2015,Privately owned apartment,354608
Gyeongsangbuk-do,2015,privately owned house,833001
Gyeongsangbuk-do,2015,total number of apartments,449154
Gyeongsangbuk-do,2015,total number of houses,995385
Gyeongsangbuk-do,2016,Privately owned apartment,372490
Gyeongsangbuk-do,2016,privately owned house,855400
Gyeongsangbuk-do,2016,total number of apartments,461577
Gyeongsangbuk-do,2016,total number of houses,1009941
Gyeongsangbuk-do,2017,Privately owned apartment,393187
Gyeongsangbuk-do,2017,privately owned house,895071
Gyeongsangbuk-do,2017,total number of apartments,485196
Gyeongsangbuk-do,2017,total number of houses,1038274
Gyeongsangbuk-do,2018,Privately owned apartment,417147
Gyeongsangbuk-do,2018,privately owned house,920239
Gyeongsangbuk-do,2018,total number of apartments,507230
Gyeongsangbuk-do,2018,total number of houses,1060505
Gyeongsangbuk-do,2019,Privately owned apartment,433661
Gyeongsangbuk-do,2019,privately owned house,936551
Gyeongsangbuk-do,2019,total number of apartments,529133
Gyeongsangbuk-do,2019,total number of houses,1081216
Gyeongsangbuk-do,2020,Privately owned apartment,443829
Gyeongsangbuk-do,2020,privately owned house,948610
Gyeongsangbuk-do,2020,total number of apartments,541246
Gyeongsangbuk-do,2020,total number of houses,1094306
Gyeongsangbuk-do,2021,Privately owned apartment,459641
Gyeongsangbuk-do,2021,privately owned house,966387
Gyeongsangbuk-do,2021,total number of apartments,551145
